EmpID,Age,AgeGroup,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,SalarySlab,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
RM172,19.00,18-25,Yes,Travel_Frequently,602.00,Sales,1.00,1,Technical Degree,1,235,3,Female,100,1,1,Sales Representative,1,Single,2325.00,Upto 5k,20989.00,0,Y,No,21,4,1,80,0,1.00,5,4,0.00,0,0,0
RM178,19.00,18-25,Yes,Travel_Rarely,303.00,Research & Development,2.00,3,Life Sciences,1,243,2,Male,47,2,1,Laboratory Technician,4,Single,1102.00,Upto 5k,9241.00,1,Y,No,22,4,3,80,0,1.00,3,2,1.00,0,1,0
RM423,19.00,18-25,Yes,Travel_Rarely,489.00,Human Resources,2.00,2,Technical Degree,1,566,1,Male,52,2,1,Human Resources,4,Single,2564.00,Upto 5k,18437.00,1,Y,No,12,3,3,80,0,1.00,3,4,1.00,0,0,0
RM689,19.00,18-25,Yes,Travel_Rarely,419.00,Sales,21.00,3,Other,1,959,4,Male,37,2,1,Sales Representative,2,Single,2121.00,Upto 5k,9947.00,1,Y,Yes,13,3,2,80,0,1.00,3,4,1.00,0,0,0
RM854,19.00,18-25,No,Travel_Rarely,645.00,Research & Development,9.00,2,Life Sciences,1,1193,3,Male,54,3,1,Research Scientist,1,Single,2552.00,Upto 5k,7172.00,1,Y,No,25,4,3,80,0,1.00,4,3,1.00,1,0,0
RM893,19.00,18-25,Yes,Non-Travel,504.00,Research & Development,10.00,3,Medical,1,1248,1,Female,96,2,1,Research Scientist,2,Single,1859.00,Upto 5k,6148.00,1,Y,Yes,25,4,2,80,0,1.00,2,4,1.00,1,0,0
RM910,19.00,18-25,No,Travel_Rarely,265.00,Research & Development,25.00,3,Life Sciences,1,1269,2,Female,57,4,1,Research Scientist,4,Single,2994.00,Upto 5k,21221.00,1,Y,Yes,12,3,4,80,0,1.00,2,3,1.00,0,0,1
RM103,20.00,18-25,Yes,Travel_Frequently,871.00,Research & Development,6.00,3,Life Sciences,1,137,4,Female,66,2,1,Laboratory Technician,4,Single,2926.00,Upto 5k,19783.00,1,Y,Yes,18,3,2,80,0,1.00,5,3,1.00,0,1,0
RM488,20.00,18-25,No,Travel_Rarely,959.00,Research & Development,1.00,3,Life Sciences,1,657,4,Female,83,2,1,Research Scientist,2,Single,2836.00,Upto 5k,11757.00,1,Y,No,13,3,4,80,0,1.00,0,4,1.00,0,0,0
RM514,20.00,18-25,Yes,Travel_Rarely,1362.00,Research & Development,10.00,1,Medical,1,701,4,Male,32,3,1,Research Scientist,3,Single,1009.00,Upto 5k,26999.00,1,Y,Yes,11,3,4,80,0,1.00,5,3,1.00,0,1,1
RM663,20.00,18-25,Yes,Travel_Rarely,500.00,Sales,2.00,3,Medical,1,922,3,Female,49,2,1,Sales Representative,3,Single,2044.00,Upto 5k,22052.00,1,Y,No,13,3,4,80,0,2.00,3,2,2.00,2,0,2
RM690,20.00,18-25,Yes,Travel_Rarely,129.00,Research & Development,4.00,3,Technical Degree,1,960,1,Male,84,3,1,Laboratory Technician,1,Single,2973.00,Upto 5k,13008.00,1,Y,No,19,3,2,80,0,1.00,2,3,1.00,0,0,0
RM732,20.00,18-25,Yes,Travel_Rarely,1097.00,Research & Development,11.00,3,Medical,1,1016,4,Female,98,2,1,Research Scientist,1,Single,2600.00,Upto 5k,18275.00,1,Y,Yes,15,3,1,80,0,1.00,2,3,1.00,0,0,0
RM777,20.00,18-25,Yes,Travel_Frequently,769.00,Sales,9.00,3,Marketing,1,1077,4,Female,54,3,1,Sales Representative,4,Single,2323.00,Upto 5k,17205.00,1,Y,Yes,14,3,2,80,0,2.00,3,3,2.00,2,0,2
RM857,20.00,18-25,No,Travel_Rarely,805.00,Research & Development,3.00,3,Life Sciences,1,1198,1,Male,87,2,1,Laboratory Technician,3,Single,3033.00,Upto 5k,12828.00,1,Y,No,12,3,1,80,0,2.00,2,2,2.00,2,1,2
RM877,20.00,18-25,No,Travel_Rarely,654.00,Sales,21.00,3,Marketing,1,1226,3,Male,43,4,1,Sales Representative,4,Single,2678.00,Upto 5k,5050.00,1,Y,No,17,3,4,80,0,2.00,2,3,2.00,1,2,2
RM1179,20.00,18-25,No,Travel_Rarely,1141.00,Sales,2.00,3,Medical,1,1657,3,Female,31,3,1,Sales Representative,3,Single,2783.00,Upto 5k,13251.00,1,Y,No,19,3,1,80,0,2.00,3,3,2.00,2,2,2
RM1198,20.00,18-25,No,Travel_Rarely,727.00,Sales,9.00,1,Life Sciences,1,1680,4,Male,54,3,1,Sales Representative,1,Single,2728.00,Upto 5k,21082.00,1,Y,No,11,3,1,80,0,2.00,3,3,2.00,2,0,2
RM275,21.00,18-25,No,Travel_Rarely,996.00,Research & Development,3.00,2,Medical,1,379,4,Male,100,2,1,Research Scientist,3,Single,3230.00,Upto 5k,10531.00,1,Y,No,17,3,1,80,0,3.00,4,4,3.00,2,1,0
RM358,21.00,18-25,Yes,Travel_Frequently,756.00,Sales,1.00,1,Technical Degree,1,478,1,Female,99,2,1,Sales Representative,2,Single,2174.00,Upto 5k,9150.00,1,Y,Yes,11,3,3,80,0,3.00,3,3,3.00,2,1,2
RM371,21.00,18-25,Yes,Travel_Rarely,156.00,Sales,12.00,3,Life Sciences,1,494,3,Female,90,4,1,Sales Representative,2,Single,2716.00,Upto 5k,25422.00,1,Y,No,15,3,4,80,0,1.00,0,3,1.00,0,0,0
RM497,21.00,18-25,No,Travel_Rarely,1343.00,Sales,22.00,1,Technical Degree,1,669,3,Male,49,3,1,Sales Representative,3,Single,3447.00,Upto 5k,24444.00,1,Y,No,11,3,3,80,0,3.00,2,3,3.00,2,1,2
RM664,21.00,18-25,Yes,Travel_Rarely,1427.00,Research & Development,18.00,1,Other,1,923,4,Female,65,3,1,Research Scientist,4,Single,2693.00,Upto 5k,8870.00,1,Y,No,19,3,1,80,0,1.00,3,2,1.00,0,0,0
RM778,21.00,18-25,Yes,Travel_Rarely,1334.00,Research & Development,10.00,3,Life Sciences,1,1079,3,Female,36,2,1,Laboratory Technician,1,Single,1416.00,Upto 5k,17258.00,1,Y,No,13,3,1,80,0,1.00,6,2,1.00,0,1,0
RM816,21.00,18-25,No,Travel_Rarely,984.00,Research & Development,1.00,1,Technical Degree,1,1131,4,Female,70,2,1,Research Scientist,2,Single,2070.00,Upto 5k,25326.00,1,Y,Yes,11,3,3,80,0,2.00,6,4,2.00,2,2,2
RM916,21.00,18-25,Yes,Travel_Frequently,251.00,Research & Development,10.00,2,Life Sciences,1,1279,1,Female,45,2,1,Laboratory Technician,3,Single,2625.00,Upto 5k,25308.00,1,Y,No,20,4,3,80,0,2.00,2,1,2.00,2,2,2
RM1153,21.00,18-25,No,Travel_Rarely,546.00,Research & Development,5.00,1,Medical,1,1623,3,Male,97,3,1,Research Scientist,4,Single,3117.00,Upto 5k,26009.00,1,Y,No,18,3,3,80,0,3.00,2,3,2.00,2,2,2
RM1272,21.00,18-25,Yes,Travel_Rarely,337.00,Sales,7.00,1,Marketing,1,1780,2,Male,31,3,1,Sales Representative,2,Single,2679.00,Upto 5k,4567.00,1,Y,No,13,3,2,80,0,1.00,3,3,1.00,0,1,0
RM1437,21.00,18-25,No,Travel_Rarely,501.00,Sales,5.00,1,Medical,1,2021,3,Male,58,3,1,Sales Representative,1,Single,2380.00,Upto 5k,25479.00,1,Y,Yes,11,3,4,80,0,2.00,6,3,2.00,2,1,2
RM018,22.00,18-25,No,Non-Travel,1123.00,Research & Development,16.00,2,Medical,1,22,4,Male,96,4,1,Laboratory Technician,4,Divorced,2935.00,Upto 5k,7324.00,1,Y,Yes,13,3,2,80,2,1.00,2,2,1.00,0,0,0
RM110,22.00,18-25,No,Travel_Rarely,534.00,Research & Development,15.00,3,Medical,1,144,2,Female,59,3,1,Laboratory Technician,4,Single,2871.00,Upto 5k,23785.00,1,Y,No,15,3,3,80,0,1.00,5,3,0.00,0,0,0
RM129,22.00,18-25,No,Travel_Rarely,594.00,Research & Development,2.00,1,Technical Degree,1,169,3,Male,100,3,1,Laboratory Technician,4,Married,2523.00,Upto 5k,19299.00,0,Y,No,14,3,3,80,1,3.00,2,3,2.00,1,2,1
RM161,22.00,18-25,No,Travel_Rarely,1256.00,Research & Development,19.00,1,Medical,1,217,3,Male,80,3,1,Research Scientist,4,Married,2323.00,Upto 5k,11992.00,1,Y,No,24,4,1,80,2,2.00,6,3,2.00,2,2,2
RM384,22.00,18-25,No,Travel_Rarely,253.00,Research & Development,11.00,3,Medical,1,511,1,Female,43,3,1,Research Scientist,2,Married,2244.00,Upto 5k,24440.00,1,Y,No,13,3,4,80,1,2.00,1,3,2.00,1,1,2
RM444,22.00,18-25,Yes,Travel_Frequently,1368.00,Research & Development,4.00,1,Technical Degree,1,593,3,Male,99,2,1,Laboratory Technician,3,Single,3894.00,Upto 5k,9129.00,5,Y,No,16,3,3,80,0,4.00,3,3,2.00,2,1,2
RM499,22.00,18-25,No,Travel_Rarely,604.00,Research & Development,6.00,1,Medical,1,675,1,Male,69,3,1,Research Scientist,3,Married,2773.00,Upto 5k,12145.00,0,Y,No,20,4,4,80,0,3.00,3,3,2.00,2,2,2
RM631,22.00,18-25,No,Travel_Rarely,1230.00,Research & Development,1.00,2,Life Sciences,1,872,4,Male,33,2,2,Manufacturing Director,4,Married,4775.00,Upto 5k,19146.00,6,Y,No,22,4,1,80,2,4.00,2,1,2.00,2,2,2
RM667,22.00,18-25,Yes,Travel_Rarely,617.00,Research & Development,3.00,1,Life Sciences,1,926,2,Female,34,3,2,Manufacturing Director,3,Married,4171.00,Upto 5k,10022.00,0,Y,Yes,19,3,1,80,1,4.00,3,4,3.00,2,0,2
RM735,22.00,18-25,No,Travel_Rarely,217.00,Research & Development,8.00,1,Life Sciences,1,1019,2,Male,94,1,1,Laboratory Technician,1,Married,2451.00,Upto 5k,6881.00,1,Y,No,15,3,1,80,1,4.00,3,2,4.00,3,1,1
RM861,22.00,18-25,Yes,Travel_Frequently,1256.00,Research & Development,3.00,4,Life Sciences,1,1203,3,Male,48,2,1,Research Scientist,4,Married,2853.00,Upto 5k,4223.00,0,Y,Yes,11,3,2,80,1,1.00,5,3,0.00,0,0,0
RM1138,22.00,18-25,No,Non-Travel,457.00,Research & Development,26.00,2,Other,1,1605,2,Female,85,2,1,Research Scientist,3,Married,2814.00,Upto 5k,10293.00,1,Y,Yes,14,3,2,80,0,4.00,2,2,4.00,2,1,3
RM1274,22.00,18-25,Yes,Travel_Rarely,1294.00,Research & Development,8.00,1,Medical,1,1783,3,Female,79,3,1,Laboratory Technician,1,Married,2398.00,Upto 5k,15999.00,1,Y,Yes,17,3,3,80,0,1.00,6,3,1.00,0,0,0
RM1340,22.00,18-25,Yes,Travel_Rarely,391.00,Research & Development,7.00,1,Life Sciences,1,1878,4,Male,75,3,1,Research Scientist,2,Single,2472.00,Upto 5k,26092.00,1,Y,Yes,23,4,1,80,0,1.00,2,3,1.00,0,0,0
RM1424,22.00,18-25,No,Travel_Rarely,581.00,Research & Development,1.00,2,Life Sciences,1,2007,4,Male,63,3,1,Research Scientist,3,Single,3375.00,Upto 5k,17624.00,0,Y,No,12,3,4,80,0,4.00,2,4,3.00,2,1,2
RM087,23.00,18-25,No,Travel_Rarely,541.00,Sales,2.00,1,Technical Degree,1,113,3,Male,62,3,1,Sales Representative,1,Divorced,2322.00,Upto 5k,9518.00,3,Y,No,13,3,3,80,1,3.00,3,3,0.00,0,0,0
RM346,23.00,18-25,No,Travel_Rarely,1309.00,Research & Development,26.00,1,Life Sciences,1,465,3,Male,83,3,1,Research Scientist,4,Divorced,2904.00,Upto 5k,16092.00,1,Y,No,12,3,3,80,2,4.00,2,2,4.00,2,0,2
RM517,23.00,18-25,No,Travel_Rarely,885.00,Research & Development,4.00,3,Medical,1,705,1,Male,58,4,1,Research Scientist,1,Married,2819.00,Upto 5k,8544.00,2,Y,No,16,3,1,80,1,5.00,3,4,3.00,2,0,2
RM551,23.00,18-25,No,Travel_Rarely,650.00,Research & Development,9.00,1,Medical,1,758,2,Male,37,3,1,Laboratory Technician,1,Married,2500.00,Upto 5k,4344.00,1,Y,No,14,3,4,80,1,5.00,2,4,4.00,3,0,2
RM566,23.00,18-25,No,Travel_Rarely,310.00,Research & Development,10.00,1,Medical,1,784,1,Male,79,4,1,Research Scientist,3,Single,3505.00,Upto 5k,19630.00,1,Y,No,18,3,4,80,0,2.00,3,3,2.00,2,0,2
RM586,23.00,18-25,Yes,Travel_Rarely,1243.00,Research & Development,6.00,3,Life Sciences,1,811,3,Male,63,4,1,Laboratory Technician,1,Married,1601.00,Upto 5k,3445.00,1,Y,Yes,21,4,3,80,2,1.00,2,3,0.00,0,0,0
RM911,23.00,18-25,No,Travel_Rarely,373.00,Research & Development,1.00,2,Life Sciences,1,1270,4,Male,47,3,1,Research Scientist,3,Married,1223.00,Upto 5k,16901.00,1,Y,No,22,4,4,80,1,1.00,2,3,1.00,0,0,1
RM1083,23.00,18-25,No,Travel_Rarely,507.00,Research & Development,20.00,1,Life Sciences,1,1533,1,Male,97,3,2,Laboratory Technician,3,Single,2272.00,Upto 5k,24812.00,0,Y,No,14,3,2,80,0,5.00,2,3,4.00,3,1,2
RM1128,23.00,18-25,No,Travel_Rarely,977.00,Research & Development,10.00,3,Technical Degree,1,1592,4,Male,45,4,1,Research Scientist,3,Married,2073.00,Upto 5k,12826.00,2,Y,No,16,3,4,80,1,4.00,2,3,2.00,2,2,2
RM1202,23.00,18-25,Yes,Travel_Rarely,1320.00,Research & Development,8.00,1,Medical,1,1684,4,Male,93,2,1,Laboratory Technician,3,Single,3989.00,Upto 5k,20586.00,1,Y,Yes,11,3,1,80,0,5.00,2,3,5.00,4,1,2
RM1214,23.00,18-25,Yes,Travel_Rarely,427.00,Sales,7.00,3,Life Sciences,1,1702,3,Male,99,3,1,Sales Representative,4,Divorced,2275.00,Upto 5k,25103.00,1,Y,Yes,21,4,2,80,1,3.00,2,3,3.00,2,0,2
RM1239,23.00,18-25,No,Travel_Rarely,160.00,Research & Development,4.00,1,Medical,1,1735,3,Female,51,3,1,Laboratory Technician,2,Single,3295.00,Upto 5k,12862.00,1,Y,No,13,3,3,80,0,3.00,3,1,3.00,2,1,2
RM1409,23.00,18-25,No,Travel_Rarely,571.00,Research & Development,12.00,2,Other,1,1982,4,Male,78,3,1,Laboratory Technician,4,Single,2647.00,Upto 5k,13672.00,1,Y,No,13,3,3,80,0,5.00,6,4,5.00,2,1,4
RM1439,23.00,18-25,Yes,Travel_Frequently,638.00,Sales,9.00,3,Marketing,1,2023,4,Male,33,3,1,Sales Representative,1,Married,1790.00,Upto 5k,26956.00,1,Y,No,19,3,1,80,1,1.00,3,2,1.00,0,1,0
RM021,24.00,18-25,No,Non-Travel,673.00,Research & Development,11.00,2,Other,1,26,1,Female,96,4,2,Manufacturing Director,3,Divorced,4011.00,Upto 5k,8232.00,0,Y,No,18,3,4,80,1,5.00,5,2,4.00,2,1,3
RM035,24.00,18-25,Yes,Travel_Rarely,813.00,Research & Development,1.00,3,Medical,1,45,2,Male,61,3,1,Research Scientist,4,Married,2293.00,Upto 5k,3020.00,2,Y,Yes,16,3,1,80,1,6.00,2,2,2.00,0,2,0
RM097,24.00,18-25,No,Travel_Rarely,1353.00,Sales,3.00,2,Other,1,128,1,Female,33,3,2,Sales Executive,3,Married,4999.00,Upto 5k,17519.00,0,Y,No,21,4,1,80,1,4.00,2,2,3.00,2,0,2
RM114,24.00,18-25,No,Travel_Rarely,1127.00,Research & Development,18.00,1,Life Sciences,1,150,2,Male,52,3,1,Laboratory Technician,3,Married,2774.00,Upto 5k,13257.00,0,Y,No,12,3,3,80,1,6.00,2,3,5.00,3,1,2
RM381,24.00,18-25,No,Travel_Rarely,1371.00,Sales,10.00,4,Marketing,1,507,4,Female,77,3,2,Sales Executive,3,Divorced,4260.00,Upto 5k,5915.00,1,Y,Yes,12,3,4,80,1,5.00,2,4,5.00,2,0,3
RM415,24.00,18-25,Yes,Travel_Rarely,1448.00,Sales,1.00,1,Technical Degree,1,554,1,Female,62,3,1,Sales Representative,2,Single,3202.00,Upto 5k,21972.00,1,Y,Yes,16,3,2,80,0,6.00,4,3,5.00,3,1,4
RM471,24.00,18-25,No,Travel_Frequently,535.00,Sales,24.00,3,Medical,1,632,4,Male,38,3,1,Sales Representative,4,Married,2400.00,Upto 5k,5530.00,0,Y,No,13,3,3,80,2,3.00,3,3,2.00,2,2,1
RM475,24.00,18-25,No,Travel_Rarely,691.00,Research & Development,23.00,3,Medical,1,639,2,Male,89,4,1,Research Scientist,4,Married,2725.00,Upto 5k,21630.00,1,Y,Yes,11,3,2,80,2,6.00,3,3,6.00,5,1,4
RM477,24.00,18-25,No,Travel_Rarely,823.00,Research & Development,17.00,2,Other,1,643,4,Male,94,2,1,Laboratory Technician,2,Married,2127.00,Upto 5k,9100.00,1,Y,No,21,4,4,80,1,1.00,2,3,1.00,0,0,0
RM480,24.00,18-25,Yes,Travel_Frequently,1287.00,Research & Development,7.00,3,Life Sciences,1,647,1,Female,55,3,1,Laboratory Technician,3,Married,2886.00,Upto 5k,14168.00,1,Y,Yes,16,3,4,80,1,6.00,4,3,6.00,3,1,2
RM526,24.00,18-25,Yes,Travel_Rarely,693.00,Sales,3.00,2,Life Sciences,1,720,1,Female,65,3,2,Sales Executive,3,Single,4577.00,Upto 5k,24785.00,9,Y,No,14,3,1,80,0,4.00,3,3,2.00,2,2,0
RM587,24.00,18-25,No,Non-Travel,1092.00,Research & Development,9.00,3,Life Sciences,1,812,3,Male,60,2,1,Laboratory Technician,2,Divorced,2694.00,Upto 5k,26551.00,1,Y,No,11,3,3,80,3,1.00,4,3,1.00,0,0,0
RM641,24.00,18-25,No,Non-Travel,1269.00,Research & Development,4.00,1,Life Sciences,1,888,1,Male,46,2,1,Laboratory Technician,4,Married,3162.00,Upto 5k,10778.00,0,Y,No,17,3,4,80,0,6.00,2,2,5.00,2,3,4
RM725,24.00,18-25,No,Travel_Rarely,1206.00,Research & Development,17.00,1,Medical,1,1009,4,Female,41,2,2,Manufacturing Director,3,Divorced,4377.00,Upto 5k,24117.00,1,Y,No,15,3,2,80,2,5.00,6,3,4.00,2,3,2
RM842,24.00,18-25,No,Travel_Rarely,477.00,Research & Development,24.00,3,Medical,1,1173,4,Male,49,3,1,Laboratory Technician,2,Single,3597.00,Upto 5k,6409.00,8,Y,No,22,4,4,80,0,6.00,2,3,4.00,3,1,2
RM872,24.00,18-25,Yes,Travel_Rarely,984.00,Research & Development,17.00,2,Life Sciences,1,1219,4,Female,97,3,1,Laboratory Technician,2,Married,2210.00,Upto 5k,3372.00,1,Y,No,13,3,1,80,1,1.00,3,1,1.00,0,0,0
RM1026,24.00,18-25,No,Travel_Rarely,1476.00,Sales,4.00,1,Medical,1,1445,4,Female,42,3,2,Sales Executive,3,Married,4162.00,Upto 5k,15211.00,1,Y,Yes,12,3,3,80,2,5.00,3,3,5.00,4,0,3
RM1061,24.00,18-25,Yes,Travel_Frequently,381.00,Research & Development,9.00,3,Medical,1,1494,2,Male,89,3,1,Laboratory Technician,1,Single,3172.00,Upto 5k,16998.00,2,Y,Yes,11,3,3,80,0,4.00,2,2,0.00,0,0,0
RM1062,24.00,18-25,No,Non-Travel,830.00,Sales,13.00,2,Life Sciences,1,1495,4,Female,78,3,1,Sales Representative,2,Married,2033.00,Upto 5k,7103.00,1,Y,No,13,3,3,80,1,1.00,2,3,1.00,0,0,0
RM1098,24.00,18-25,No,Travel_Rarely,350.00,Research & Development,21.00,2,Technical Degree,1,1551,3,Male,57,2,1,Laboratory Technician,1,Divorced,2296.00,Upto 5k,10036.00,0,Y,No,14,3,2,80,3,2.00,3,3,1.00,1,0,0
RM1169,24.00,18-25,No,Travel_Frequently,567.00,Research & Development,2.00,1,Technical Degree,1,1646,1,Female,32,3,1,Research Scientist,4,Single,3760.00,Upto 5k,17218.00,1,Y,Yes,13,3,3,80,0,6.00,2,3,6.00,3,1,3
RM1218,24.00,18-25,No,Travel_Rarely,581.00,Research & Development,9.00,3,Medical,1,1707,3,Male,62,4,1,Research Scientist,3,Married,4401.00,Upto 5k,17616.00,1,Y,No,16,3,4,80,1,5.00,1,3,5.00,3,0,4
RM1223,24.00,18-25,Yes,Travel_Rarely,240.00,Human Resources,22.00,1,Human Resources,1,1714,4,Male,58,1,1,Human Resources,3,Married,1555.00,Upto 5k,11585.00,1,Y,No,11,3,3,80,1,1.00,2,3,1.00,0,0,0
RM1231,24.00,18-25,No,Travel_Rarely,506.00,Research & Development,29.00,1,Medical,1,1725,2,Male,91,3,1,Laboratory Technician,1,Divorced,3907.00,Upto 5k,3622.00,1,Y,No,13,3,2,80,3,6.00,2,4,6.00,2,1,2
RM1246,24.00,18-25,No,Travel_Frequently,897.00,Human Resources,10.00,3,Medical,1,1746,1,Male,59,3,1,Human Resources,4,Married,2145.00,Upto 5k,2097.00,0,Y,No,14,3,4,80,1,3.00,2,3,2.00,2,2,1
RM1408,24.00,18-25,No,Travel_Rarely,771.00,Research & Development,1.00,2,Life Sciences,1,1981,2,Male,45,2,2,Healthcare Representative,3,Single,4617.00,Upto 5k,14120.00,1,Y,No,12,3,2,80,0,4.00,2,2,4.00,3,1,2
RM108,25.00,18-25,Yes,Travel_Rarely,240.00,Sales,5.00,3,Marketing,1,142,3,Male,46,2,2,Sales Executive,3,Single,5744.00,5k-10k,26959.00,1,Y,Yes,11,3,4,80,0,6.00,1,3,6.00,4,0,3
RM109,25.00,18-25,No,Travel_Rarely,1280.00,Research & Development,7.00,1,Medical,1,143,4,Male,64,2,1,Research Scientist,4,Married,2889.00,Upto 5k,26897.00,1,Y,No,11,3,3,80,2,2.00,2,3,2.00,2,2,1
RM268,25.00,18-25,No,Non-Travel,675.00,Research & Development,5.00,2,Life Sciences,1,369,2,Male,85,4,2,Healthcare Representative,1,Divorced,4000.00,Upto 5k,18384.00,1,Y,No,12,3,4,80,2,6.00,2,3,6.00,3,1,5
RM398,25.00,18-25,No,Travel_Rarely,891.00,Sales,4.00,2,Life Sciences,1,527,2,Female,99,2,2,Sales Executive,4,Single,4487.00,Upto 5k,12090.00,1,Y,Yes,11,3,2,80,0,5.00,3,3,5.00,4,1,3
RM479,25.00,18-25,No,Travel_Rarely,622.00,Sales,13.00,1,Medical,1,645,2,Male,40,3,1,Sales Representative,3,Married,2096.00,Upto 5k,26376.00,1,Y,No,11,3,3,80,0,7.00,1,3,7.00,4,0,6
RM518,25.00,18-25,No,Travel_Rarely,810.00,Sales,8.00,3,Life Sciences,1,707,4,Male,57,4,2,Sales Executive,2,Married,4851.00,Upto 5k,15678.00,0,Y,No,22,4,3,80,1,4.00,4,3,3.00,2,1,2
RM564,25.00,18-25,No,Travel_Rarely,883.00,Sales,26.00,1,Medical,1,781,3,Female,32,3,2,Sales Executive,4,Single,6180.00,5k-10k,22807.00,1,Y,No,23,4,2,80,0,6.00,5,2,6.00,5,1,4
RM619,25.00,18-25,No,Travel_Rarely,180.00,Research & Development,2.00,1,Medical,1,854,1,Male,65,4,1,Research Scientist,1,Single,3424.00,Upto 5k,21632.00,7,Y,No,13,3,3,80,0,6.00,3,2,4.00,3,0,1
RM635,25.00,18-25,No,Travel_Rarely,141.00,Sales,3.00,1,Other,1,879,3,Male,98,3,2,Sales Executive,1,Married,4194.00,Upto 5k,14363.00,1,Y,Yes,18,3,4,80,0,5.00,3,3,5.00,3,0,3
RM639,25.00,18-25,No,Travel_Rarely,583.00,Sales,4.00,1,Marketing,1,885,3,Male,87,2,2,Sales Executive,1,Married,4256.00,Upto 5k,18154.00,1,Y,No,12,3,1,80,0,5.00,1,4,5.00,2,0,3
RM684,25.00,18-25,Yes,Travel_Rarely,867.00,Sales,19.00,2,Marketing,1,952,3,Male,36,2,1,Sales Representative,2,Married,2413.00,Upto 5k,18798.00,1,Y,Yes,18,3,3,80,3,1.00,2,3,1.00,0,0,0
RM797,25.00,18-25,Yes,Travel_Rarely,1219.00,Research & Development,4.00,1,Technical Degree,1,1106,4,Male,32,3,1,Laboratory Technician,4,Married,3691.00,Upto 5k,4605.00,1,Y,Yes,15,3,2,80,1,7.00,3,4,7.00,7,5,6
